Well, Sample ID, Target Gene, Ct Value, Threshold, Baseline Start, Baseline End, Efficiency
A1, Sample_001, Gene_X, 25.34, 0.01, 3, 15, 1.95
A2, Sample_002, Gene_X, 26.78, 0.01, 3, 15, 1.98
A3, Sample_003, Gene_X, 24.56, 0.01, 3, 15, 1.97
A4, Sample_004, Gene_X, 25.89, 0.01, 3, 15, 1.96
A5, Sample_005, Gene_X, 27.12, 0.01, 3, 15, 1.94
B1, Sample_006, Gene_Y, 30.34, 0.01, 3, 15, 2.00
B2, Sample_007, Gene_Y, 31.78, 0.01, 3, 15, 2.02
B3, Sample_008, Gene_Y, 29.56, 0.01, 3, 15, 2.01
B4, Sample_009, Gene_Y, 30.89, 0.01, 3, 15, 2.00
B5, Sample_010, Gene_Y, 32.12, 0.01, 3, 15, 1.99
C1, Sample_011, Gene_Z, 18.34, 0.01, 3, 15, 1.88
C2, Sample_012, Gene_Z, 19.78, 0.01, 3, 15, 1.90
C3, Sample_013, Gene_Z, 17.56, 0.01, 3, 15, 1.89
C4, Sample_014, Gene_Z, 18.89, 0.01, 3, 15, 1.88
C5, Sample_015, Gene_Z, 20.12, 0.01, 3, 15, 1.87
D1, Sample_016, Gene_A, 22.34, 0.01, 3, 15, 1.92
D2, Sample_017, Gene_A, 23.78, 0.01, 3, 15, 1.94
D3, Sample_018, Gene_A, 21.56, 0.01, 3, 15, 1.93
D4, Sample_019, Gene_A, 22.89, 0.01, 3, 15, 1.92
D5, Sample_020, Gene_A, 24.12, 0.01, 3, 15, 1.91
E1, Sample_021, Gene_B, 28.34, 0.01, 3, 15, 1.98
E2, Sample_022, Gene_B, 29.78, 0.01, 3, 15, 2.00
E3, Sample_023, Gene_B, 27.56, 0.01, 3, 15, 1.99
E4, Sample_024, Gene_B, 28.89, 0.01, 3, 15, 1.98
E5, Sample_025, Gene_B, 30.12, 0.01, 3, 15, 1.97
F1, Sample_026, Gene_C, 20.34, 0.01, 3, 15, 1.88
F2, Sample_027, Gene_C, 21.78, 0.01, 3, 15, 1.90
F3, Sample_028, Gene_C, 19.56, 0.01, 3, 15, 1.89
F4, Sample_029, Gene_C, 20.89, 0.01, 3, 15, 1.88
F5, Sample_030, Gene_C, 22.12, 0.01, 3, 15, 1.87
