ACTION,COORDINATES,ID,NAME,CONCENTRATION,COLOR,SYMBOL,KEY,VALUE,ENTITY
APPEND,A1,,comp-1,0.01,blue,comp-1,,,Chemistry::Compound
APPEND,A2,,comp-2,0.011,blue,comp-2,,,Chemistry::Compound
APPEND,A3,,comp-4,0.012,blue,comp-4,,,Chemistry::Compound
APPEND,A4,,comp-1,0.013,blue,comp-1,,,Chemistry::Compound
APPEND,A5,,comp-2,0.014,blue,comp-2,,,Chemistry::Compound
APPEND,A6,,comp-4,0.015,blue,comp-4,,,Chemistry::Compound
APPEND,A7,,comp-1,0.016,blue,comp-1,,,Chemistry::Compound
APPEND,A8,,comp-2,0.017,blue,comp-2,,,Chemistry::Compound
APPEND,A9,,comp-4,0.018,blue,comp-4,,,Chemistry::Compound
APPEND,A10,,comp-1,0.019,blue,comp-1,,,Chemistry::Compound
APPEND,A11,,comp-2,0.02,blue,comp-2,,,Chemistry::Compound
APPEND,A12,,comp-4,0.021,blue,comp-4,,,Chemistry::Compound
APPEND,A13,,comp-1,0.022,blue,comp-1,,,Chemistry::Compound
APPEND,A14,,comp-2,0.023,blue,comp-2,,,Chemistry::Compound
APPEND,A15,,comp-4,0.024,blue,comp-4,,,Chemistry::Compound
APPEND,A16,,comp-1,0.025,blue,comp-1,,,Chemistry::Compound
APPEND,A17,,comp-2,0.026,blue,comp-2,,,Chemistry::Compound
APPEND,A18,,comp-4,0.027,blue,comp-4,,,Chemistry::Compound
APPEND,A19,,comp-1,0.028,blue,comp-1,,,Chemistry::Compound
APPEND,A20,,comp-2,0.029,blue,comp-2,,,Chemistry::Compound
APPEND,A21,,comp-4,0.03,blue,comp-4,,,Chemistry::Compound
APPEND,A22,,comp-1,0.031,blue,comp-1,,,Chemistry::Compound
APPEND,A23,,comp-2,0.032,blue,comp-2,,,Chemistry::Compound
APPEND,A24,,comp-4,0.033,blue,comp-4,,,Chemistry::Compound
APPEND,B1,,comp-1,0.034,blue,comp-1,,,Chemistry::Compound
APPEND,B2,,comp-2,0.035,blue,comp-2,,,Chemistry::Compound
APPEND,B3,,comp-4,0.036,blue,comp-4,,,Chemistry::Compound
APPEND,B4,,comp-1,0.037,blue,comp-1,,,Chemistry::Compound
APPEND,B5,,comp-2,0.038,blue,comp-2,,,Chemistry::Compound
APPEND,B6,,comp-4,0.039,blue,comp-4,,,Chemistry::Compound
APPEND,B7,,comp-1,0.04,blue,comp-1,,,Chemistry::Compound
APPEND,B8,,comp-2,0.041,blue,comp-2,,,Chemistry::Compound
APPEND,B9,,comp-4,0.042,blue,comp-4,,,Chemistry::Compound
APPEND,B10,,comp-1,0.043,blue,comp-1,,,Chemistry::Compound
APPEND,B11,,comp-2,0.044,blue,comp-2,,,Chemistry::Compound
APPEND,B12,,comp-4,0.045,blue,comp-4,,,Chemistry::Compound
APPEND,B13,,comp-1,0.046,blue,comp-1,,,Chemistry::Compound
APPEND,B14,,comp-2,0.047,blue,comp-2,,,Chemistry::Compound
APPEND,B15,,comp-4,0.048,blue,comp-4,,,Chemistry::Compound
APPEND,B16,,comp-1,0.049,blue,comp-1,,,Chemistry::Compound
APPEND,B17,,comp-2,0.05,blue,comp-2,,,Chemistry::Compound
APPEND,B18,,comp-4,0.051,blue,comp-4,,,Chemistry::Compound
APPEND,B19,,comp-1,0.052,blue,comp-1,,,Chemistry::Compound
APPEND,B20,,comp-2,0.053,blue,comp-2,,,Chemistry::Compound
APPEND,B21,,comp-4,0.054,blue,comp-4,,,Chemistry::Compound
APPEND,B22,,comp-1,0.055,blue,comp-1,,,Chemistry::Compound
APPEND,B23,,comp-2,0.056,blue,comp-2,,,Chemistry::Compound
APPEND,B24,,comp-4,0.057,blue,comp-4,,,Chemistry::Compound
APPEND,C1,,comp-1,0.058,blue,comp-1,,,Chemistry::Compound
APPEND,C2,,comp-2,0.059,blue,comp-2,,,Chemistry::Compound
APPEND,C3,,comp-4,0.06,blue,comp-4,,,Chemistry::Compound
APPEND,C4,,comp-1,0.061,blue,comp-1,,,Chemistry::Compound
APPEND,C5,,comp-2,0.062,blue,comp-2,,,Chemistry::Compound
APPEND,C6,,comp-4,0.063,blue,comp-4,,,Chemistry::Compound
APPEND,C7,,comp-1,0.064,blue,comp-1,,,Chemistry::Compound
APPEND,C8,,comp-2,0.065,blue,comp-2,,,Chemistry::Compound
APPEND,C9,,comp-4,0.066,blue,comp-4,,,Chemistry::Compound
APPEND,C10,,comp-1,0.067,blue,comp-1,,,Chemistry::Compound
APPEND,C11,,comp-2,0.068,blue,comp-2,,,Chemistry::Compound
APPEND,C12,,comp-4,0.069,blue,comp-4,,,Chemistry::Compound
APPEND,C13,,comp-1,0.07,blue,comp-1,,,Chemistry::Compound
APPEND,C14,,comp-2,0.071,blue,comp-2,,,Chemistry::Compound
APPEND,C15,,comp-4,0.072,blue,comp-4,,,Chemistry::Compound
APPEND,C16,,comp-1,0.073,blue,comp-1,,,Chemistry::Compound
APPEND,C17,,comp-2,0.074,blue,comp-2,,,Chemistry::Compound
APPEND,C18,,comp-4,0.075,blue,comp-4,,,Chemistry::Compound
APPEND,C19,,comp-1,0.076,blue,comp-1,,,Chemistry::Compound
APPEND,C20,,comp-2,0.077,blue,comp-2,,,Chemistry::Compound
APPEND,C21,,comp-4,0.078,blue,comp-4,,,Chemistry::Compound
APPEND,C22,,comp-1,0.079,blue,comp-1,,,Chemistry::Compound
APPEND,C23,,comp-2,0.08,blue,comp-2,,,Chemistry::Compound
APPEND,C24,,comp-4,0.081,blue,comp-4,,,Chemistry::Compound
APPEND,D1,,comp-1,0.082,blue,comp-1,,,Chemistry::Compound
APPEND,D2,,comp-2,0.083,blue,comp-2,,,Chemistry::Compound
APPEND,D3,,comp-4,0.084,blue,comp-4,,,Chemistry::Compound
APPEND,D4,,comp-1,0.085,blue,comp-1,,,Chemistry::Compound
